2026-03-30 21:49:12,703 | listener_started | / | ['0.0.0.0, 9001']
2026-04-02 15:56:14,339 | recv | /adm/obj/1/xyz | [0.1566493809223175, 0.4482126235961914, 1.0]
2026-04-02 15:56:15,137 | recv | /reward | [-0.522441029548645]
2026-04-02 15:56:15,140 | recv | /adm/obj/101/xyz | [0.9628074169158936, 0.1988697201013565, 0.0]
2026-04-02 15:56:15,148 | send | /adm/obj/1/xyz | [1.0, 1.0, 0.257811576128006]
2026-04-02 15:56:15,159 | recv | /adm/obj/1/xyz | [1.0, 1.0, 0.257811576128006]
2026-04-02 15:56:16,053 | recv | /reward | [0.814717173576355]
2026-04-02 15:56:16,054 | recv | /adm/obj/101/xyz | [0.644639253616333, -0.08764978498220444, 0.0]
2026-04-02 15:56:16,068 | send | /adm/obj/1/xyz | [0.06455513089895248, 0.2100028395652771, -1.0]
2026-04-02 15:56:16,077 | recv | /adm/obj/1/xyz | [0.06455513089895248, 0.2100028395652771, -1.0]
2026-04-02 15:56:16,893 | recv | /reward | [0.649433970451355]
2026-04-02 15:56:16,895 | recv | /adm/obj/101/xyz | [0.5688406825065613, -0.1608279049396515, 0.0]
2026-04-02 15:56:16,906 | send | /adm/obj/1/xyz | [0.34342160820961, -1.0, 0.9024259448051453]
2026-04-02 15:56:16,914 | recv | /adm/obj/1/xyz | [0.34342160820961, -1.0, 0.9024259448051453]
2026-04-02 15:56:18,001 | recv | /reward | [0.10963903367519379]
2026-04-02 15:56:18,003 | recv | /adm/obj/101/xyz | [0.6043705344200134, -0.42253828048706055, 0.0]
2026-04-02 15:56:18,019 | send | /adm/obj/1/xyz | [-1.0, -0.4004335403442383, -0.7466869354248047]
2026-04-02 15:56:18,027 | recv | /adm/obj/1/xyz | [-1.0, -0.4004335403442383, -0.7466869354248047]
2026-04-02 15:56:27,107 | recv | /training/stop | [1]
2026-04-02 15:56:27,109 | recv | /adm/obj/101/xyz | [0.5544341802597046, -0.4779486358165741, 0.0]
2026-04-02 15:56:27,110 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-02 15:56:27,118 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-04-02 16:53:12,344 | listener_started | / | ['0.0.0.0, 9001']
2026-04-02 16:53:16,138 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-02 16:53:16,159 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-04-02 16:53:16,396 | send | /adm/obj/1/xyz | [1.0, -1.0, 0.5684553384780884]
2026-04-02 16:53:16,478 | recv | /adm/obj/1/xyz | [1.0, -1.0, 0.5684553384780884]
2026-04-02 16:54:11,569 | recv | /reward | [1.0]
2026-04-02 16:54:11,571 | recv | /adm/obj/101/xyz | [0.004696321208029985, -0.19532687962055206, 0.0]
2026-04-02 16:54:11,585 | send | /adm/obj/1/xyz | [0.27155259251594543, -1.0, -1.0]
2026-04-02 16:54:11,593 | recv | /adm/obj/1/xyz | [0.27155259251594543, -1.0, -1.0]
2026-04-02 16:54:46,692 | recv | /reward | [0.47629523277282715]
2026-04-02 16:54:46,693 | recv | /adm/obj/101/xyz | [-0.0093069551512599, -0.27641215920448303, 0.0]
2026-04-02 16:54:46,712 | send | /adm/obj/1/xyz | [-1.0, -0.896001935005188, 0.4149926006793976]
